Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b0624694eec4a6752a1ffb130506250ed7bbb845f90f664c8cc27f4ebef157d3,2016-10,Humberside Police,Humberside Police,-0.570412,53.729368,On or near Supermarket,E01012974,East Riding of Yorkshire 032E,Investigation complete; no suspect identified
de1b70d3491a1258b422565e0f5a9e4f917b85945e2390d1a691909519cb4d62,2016-10,Humberside Police,Humberside Police,-0.649412,53.572331,On or near MAGNOLIA WAY,E01013318,North Lincolnshire 014C,Investigation complete; no suspect identified
4770aa79ab54dbe4b4e10ce319e4bdd62b68dc62b0cb81f668d2398c6bcd0cf0,2016-10,Humberside Police,Humberside Police,-0.367401,53.740096,On or near CAMDEN STREET,E01012892,Kingston upon Hull 030D,Investigation complete; no suspect identified
05184f1c709526004c355a24f18fc6769284762cff6875834401f372c5a77c1b,2016-10,Humberside Police,Humberside Police,-0.214941,53.741077,On or near THE WOODLANDS,E01013096,East Riding of Yorkshire 029C,Investigation complete; no suspect identified
cf2ff36891d37d1ad5c0fabb401653c403f0cff9ea6d6abaf019e212dc15ec55,2016-10,Humberside Police,Humberside Police,-0.348482,53.766265,On or near RYDE AVENUE,E01012869,Kingston upon Hull 015C,Investigation complete; no suspect identified
068248d9cb6a57b19b985eba8fb98339912afaa9b19e4477b8e0a5f9f3f523ad,2016-10,Humberside Police,Humberside Police,-0.643253,53.525536,On or near BRIGG ROAD,E01013328,North Lincolnshire 021D,Investigation complete; no suspect identified
2349393e62323a3377d3911a50248aca6dd2655e35e22393e55c358cafe07ae5,2016-10,Humberside Police,Humberside Police,-0.365335,53.759322,On or near VICTORIA AVENUE,E01012762,Kingston upon Hull 018B,Investigation complete; no suspect identified
618436058d03ff68c57495a70d56205d096e6babbddab75a5edfc6b3e9cf9a5e,2016-10,Humberside Police,Humberside Police,-0.314443,53.753197,On or near HOLDERNESS ROAD,E01012808,Kingston upon Hull 026B,Investigation complete; no suspect identified
0b9f025949fad0de47cf3b7e2929f79acbeb259d8dedcf11bc640372fd5e8fd3,2016-10,Humberside Police,Humberside Police,-0.027860,53.553827,On or near THRUNSCOE ROAD,E01013132,North East Lincolnshire 014B,Investigation complete; no suspect identified
53386d3879f86d6d4966d0338ef589ea70cd450397447081faeaf64d55fa93e2,2016-10,Humberside Police,Humberside Police,-0.673471,53.535601,On or near NORTH MOOR LANE,E01013324,North Lincolnshire 021A,Investigation complete; no suspect identified
