Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
44f8ea3cbdb757c008d2e6a4792251d966311015aad9e7516c78ab4f0c0ce8c0,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.723143,52.441060,On or near LONDON ROAD,E01030253,Waveney 012D,Investigation complete; no suspect identified
99274e7435d031fb6985abb9ec2cd2ea6e75b1b4db244cc48d6d32e23f18daee,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.316390,51.979872,On or near ST MARY'S CLOSE,E01030215,Suffolk Coastal 012C,Investigation complete; no suspect identified
799567d77836bfe93e03d0324e4a6ae37decf87380f9020970e2e6cab0409e44,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.140985,52.078680,On or near FIRCROFT ROAD,E01030033,Ipswich 001B,Investigation complete; no suspect identified
ad106bd3eb7698c3941dd17eb034eb794d4e3f8103b658f9cb9c859d25e91445,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.261057,51.958438,On or near STOURSIDE,E01029874,Babergh 011C,Investigation complete; no suspect identified
f0496b158bdfc1d6f17e44156024cd776e39536ada6f0e31f78865f5029a1f2d,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.750541,52.481794,On or near REEVE STREET,E01030249,Waveney 004C,Investigation complete; no suspect identified
3ad39a5bfe4fa564dfa1edfef756d3345f955f8406ea9c282a343b749605b2b0,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.028621,52.266396,On or near MILL ROAD,E01030059,Mid Suffolk 005C,Investigation complete; no suspect identified
197a2a2b87de810bc03f594cac2d53750f788c6ee3aacda79e16ec8dcf754ff0,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.010501,52.191719,On or near JAY DRIVE,E01033316,Mid Suffolk 010F,Investigation complete; no suspect identified
1c431bf90ef894afd8da92614710b88f53667432c77f9a5ee0520307d3ed12d2,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.746340,52.492515,On or near YARMOUTH ROAD,E01030277,Waveney 002C,Investigation complete; no suspect identified
5a58fa3a232fad0e98eef5d53293579bbe9b4ba2fe4dcbd8218733617340588d,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.796075,52.108866,On or near MARKET LANE,E01029898,Babergh 001B,Investigation complete; no suspect identified
caa62dae3a6ded7460cee0a35d2565391691b35506eb8f679db6c7c718c15c05,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.202999,52.056747,On or near BRISBANE ROAD,E01029965,Ipswich 009C,Investigation complete; no suspect identified
c2a67fd33a96dc08e8556d8ca44115f3e70a76f8d0e1a2a2e2b1d69783ac726e,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.482107,52.219333,On or near ASHFORDS CLOSE,E01030210,Suffolk Coastal 003D,Investigation complete; no suspect identified
b5c148f265259423df4e9707bfbd6e8488801a866421bacecbe67e2a428e962c,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.149404,52.062878,On or near ANGLESEA ROAD,E01030009,Ipswich 005C,Investigation complete; no suspect identified
3b53650bda91343a60ed3f335b005ccfb73ff8a0acbc7fd8e1fcc8d700389e71,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.976006,52.224503,On or near Park/Open Space,E01030056,Mid Suffolk 006B,Investigation complete; no suspect identified
ca9a2860614be5c2784bec0478f96f16506be9e25f328853812ecd00946c8632,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.976006,52.224503,On or near Park/Open Space,E01030056,Mid Suffolk 006B,Investigation complete; no suspect identified
263cf6fff77fa661507251875dcc1db1fafe5e270efcdf9b988c155559f7adc4,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.976006,52.224503,On or near Park/Open Space,E01030056,Mid Suffolk 006B,Investigation complete; no suspect identified
383cb17c3d2c40ff6593345bf80651bf1b375c5ac0ad5d28c3fb8b35201b3289,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.976006,52.224503,On or near Park/Open Space,E01030056,Mid Suffolk 006B,Investigation complete; no suspect identified
eb210a3122561c07df24850fe06ba9d0910d78c476e361017d6e8445cfb33bc9,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.129313,52.049977,On or near HAREBELL ROAD,E01029986,Ipswich 010C,Investigation complete; no suspect identified
ce148314c03d357cbf9b9fc8a9feccdf4342497c0326ea8f5efb681aef1f70ab,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.976006,52.224503,On or near Park/Open Space,E01030056,Mid Suffolk 006B,Investigation complete; no suspect identified
786f5f8b579121b7a37cc2bf06468fed84b3f3e91f98cb9564944b0791e01b03,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.427683,52.088912,On or near WESTERN AVENUE,E01030110,St Edmundsbury 012B,Investigation complete; no suspect identified
bb21784b1d1e6bbb04a5d0a8f390f8426518047d9cdb393a387bc0b2c7a395f4,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.504334,52.348989,On or near BOEING WAY,E01029939,Forest Heath 004B,Investigation complete; no suspect identified
4c06bed6d8d03015648d23e9b88cf6e3bbf3256ef3bf30db5f64d3b9a0a501dc,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.917165,52.239454,On or near BLACKBOURNE ROAD,E01030050,Mid Suffolk 004C,Investigation complete; no suspect identified
7838f5e724007933ad814b7ba635cc5f72e5ee8e68c2bf7f5a3bf4b5430a5c56,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.402568,52.245930,On or near MILL HILL,E01029954,Forest Heath 006C,Investigation complete; no suspect identified
d47d340c82f75057e546dcbdf428f9685ad095230852c72b376a8fdcd5aaf7ee,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.435673,52.079880,On or near MILL HILL,E01030113,St Edmundsbury 014E,Investigation complete; no suspect identified
08038e363c938e9522ef1ea911c110c8f489e7a7d490fc62e3b15d4aa6c0bc5b,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.249943,51.969611,On or near THE STREET,E01029873,Babergh 011B,Investigation complete; no suspect identified
629c5776b97bcf0f693cb69cce8f327c0f231b8f79f175d4c66144ca0a89df0f,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.154097,52.058660,On or near Parking Area,E01033125,Ipswich 007G,Investigation complete; no suspect identified
6c7db949cfbdddbf93533c3726f2a17bddb30d627688608935cae2d760502261,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.152191,52.057290,On or near KING STREET,E01033125,Ipswich 007G,Investigation complete; no suspect identified
ca7748120de9101a99070e3435a0c8842b652fca3822228cd95de440a407f6c6,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.713904,52.253703,On or near Parking Area,E01030137,St Edmundsbury 006D,Investigation complete; no suspect identified
0765873f779a7cbff8c4e400e891ddc3baec3911ba040f7e469ba9c86e97e4bf,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.114632,52.083203,On or near GODDARD ROAD,E01030031,Ipswich 003E,Investigation complete; no suspect identified
c0e5315647316e848a4aaa215914751e690914e35781c7f9a2ab993de31e5779,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.212027,52.036570,On or near FOXGLOVE CRESCENT,E01030196,Suffolk Coastal 011A,Investigation complete; no suspect identified
4500c578ba47e7cb6710329b0b1f6399ca179a2bfc90fc1ec563ea79bf883064,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.141024,52.066969,On or near WESTWOOD AVENUE,E01030009,Ipswich 005C,Investigation complete; no suspect identified
0b049f3fbed4bb66c0ec869aa90a1663d112f6c7140f6b6cddc013cb351af2ee,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.127847,52.074290,On or near CASTLE ROAD,E01029976,Ipswich 002D,Investigation complete; no suspect identified
843f88cdd9a6b888c0d4228a9a143f313e12582dbd649fef942bd0cd8582dded,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.065293,51.965213,On or near Supermarket,E01029872,Babergh 010B,Investigation complete; no suspect identified
19655d3dbc28a869e5fa95e3f4af2a80afdb54fa67492571c4eec8782df12b27,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.130510,52.076252,On or near MANSFIELD AVENUE,E01029976,Ipswich 002D,Investigation complete; no suspect identified
f2d4e73928dc6eaa9014b754c5e875a4ffd595d987be97383ff6b83ae129ab52,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.495444,52.231197,On or near BRIDGE STREET,E01030208,Suffolk Coastal 003B,Investigation complete; no suspect identified
8dc1e591fb95b9836bf26342f52256cb42001e3d2caddc6214dd2750062844ac,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.158372,52.058663,On or near ST MARGARET'S STREET,E01033129,Ipswich 007H,Investigation complete; no suspect identified
774fe8afefe2967e63ed32f187622429704343681ddf364178461a98579744f2,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.150950,52.057485,On or near ARCADE STREET,E01033125,Ipswich 007G,Investigation complete; no suspect identified
e529079cecf61f500d407c78f000bbaff3c333283145811827c3fffd51dcbd61,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.137093,52.049410,On or near TALMASH GARDENS,E01029986,Ipswich 010C,Investigation complete; no suspect identified
